S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
26.31,26.38,25.88,26.31,117,19,184,7,0.75,0.37,0.89,0.28,1055,1.42692307692,0,0,2
25.25,25.25,24.81,25.69,0,0,0,0,0.07,0.06,0.06,0.06,365,0.0,0,0,0
25.38,25.44,24.94,25.75,0,0,0,0,0.07,0.05,0.06,0.06,365,0.0,0,0,0
25.5,25.44,25.06,25.56,0,0,0,0,0.07,0.04,0.06,0.09,375,-0.284615384615,0,0,0
25.31,25.38,24.94,25.44,0,0,0,0,0.07,0.04,0.06,0.08,355,0.0,0,0,0
25.13,25.13,24.63,25.56,6,7,35,23,0.06,0.05,0.06,0.06,360,-0.0269230769231,0,0,0
26.13,25.75,25.56,26.31,115,25,38,21,0.38,0.13,0.11,0.07,630,0.503846153846,1,1,1
26.31,26.44,26.0,26.44,148,234,178,10,0.24,0.76,0.4,0.14,980,4.55,1,0,3
25.13,25.13,24.81,25.69,11,13,53,37,0.07,0.05,0.06,0.09,355,0.0,0,0,0
25.06,25.06,24.69,25.31,6,7,34,22,0.07,0.05,0.07,0.11,350,0.0,0,0,0
26.13,25.81,25.69,26.31,119,24,191,14,0.33,0.12,0.13,0.09,640,2.42692307692,0,0,2
25.44,25.44,25.19,26.0,0,0,0,0,0.08,0.06,0.06,0.11,350,-0.119230769231,0,0,0
25.19,25.19,24.63,25.44,0,0,0,0,0.08,0.05,0.05,0.09,355,0.0,0,0,0
25.38,25.38,24.94,25.75,0,0,0,0,0.06,0.05,0.06,0.05,375,0.0,0,0,0
25.69,25.75,25.38,25.75,0,0,0,0,0.07,0.05,0.06,0.09,665,-3.13461538462,0,0,0
25.06,25.06,24.5,25.13,1,1,8,5,0.07,0.06,0.05,0.08,345,0.0,0,0,0
25.19,25.19,24.69,25.25,0,0,0,0,0.08,0.05,0.05,0.09,345,0.0,0,0,0
26.25,26.13,26.0,26.25,114,19,180,7,0.08,0.16,0.16,0.11,1015,-0.553846153846,0,0,2
26.13,27.19,25.5,26.38,16,15,71,55,2.0,0.65,0.44,0.33,655,1.97692307692,1,1,0
25.06,25.13,24.69,25.31,6,7,33,22,0.09,0.04,0.06,0.08,345,0.0,0,0,0
25.31,25.31,24.94,25.44,0,0,0,0,0.08,0.05,0.05,0.09,345,-0.0461538461538,0,0,0
25.44,25.44,25.19,26.06,0,0,0,0,0.08,0.05,0.06,0.11,350,0.0,0,0,0
25.94,26.06,25.81,26.31,14,18,84,51,0.08,0.05,0.07,0.06,715,-2.87307692308,0,0,0
25.13,25.13,24.56,25.19,0,0,0,0,0.08,0.05,0.05,0.08,345,0.0,0,0,0
25.38,25.38,24.94,25.81,0,0,0,0,0.09,0.06,0.07,0.1,355,0.0,0,0,0
25.0,25.06,24.5,25.31,5,6,31,20,0.08,0.05,0.06,0.07,360,0.0,0,0,0
25.19,25.19,24.69,25.56,0,0,0,0,0.08,0.05,0.07,0.05,360,0.0,0,0,0
25.81,26.81,25.56,26.25,10,11,56,41,0.07,0.06,0.06,0.06,470,-2.12307692308,0,0,0
25.56,25.63,25.31,25.69,0,0,0,0,0.07,0.05,0.05,0.08,530,-2.59230769231,0,0,0
25.13,25.19,24.56,25.5,0,0,0,0,0.07,0.06,0.06,0.06,360,0.0,0,0,0
25.44,25.44,24.94,25.75,0,0,0,0,0.07,0.04,0.06,0.06,365,-0.0307692307692,0,0,0
26.06,27.56,25.88,26.19,165,254,272,73,0.71,0.37,1.21,0.44,870,1.49615384615,0,1,2
25.63,25.69,25.25,25.88,0,0,0,0,0.07,0.05,0.07,0.07,555,-1.72692307692,0,0,0
25.56,25.63,25.19,25.81,0,0,0,0,0.06,0.05,0.06,0.06,470,-1.4,0,0,0
25.38,25.31,24.94,25.81,0,0,0,0,0.08,0.05,0.06,0.09,355,0.0,0,0,0
25.13,25.13,24.56,25.19,0,0,0,0,0.08,0.05,0.06,0.08,345,0.0,0,0,0
26.25,26.25,26.0,26.31,114,19,180,7,2.14,0.06,0.55,0.06,1035,-0.261538461538,0,0,2
25.19,25.25,24.81,25.31,0,0,0,0,0.07,0.05,0.05,0.08,345,0.0,0,0,0
25.13,25.19,24.56,25.5,0,0,0,0,0.07,0.05,0.05,0.06,360,-0.05,0,0,0
25.69,25.75,25.31,25.94,0,0,0,0,0.06,0.05,0.06,0.06,630,-2.10769230769,0,0,0
25.56,25.56,25.25,25.63,0,0,0,0,0.07,0.04,0.05,0.08,475,-1.25769230769,0,0,0
25.13,25.19,24.69,25.56,0,0,0,0,0.08,0.06,0.06,0.06,360,0.0,0,0,0
25.31,25.31,24.81,25.69,0,0,0,0,0.08,0.05,0.06,0.1,355,0.0,0,0,0
25.31,25.31,24.81,25.75,0,0,0,0,0.06,0.04,0.06,0.06,365,-0.111538461538,0,0,0
25.5,25.5,25.13,26.0,0,0,0,0,0.09,0.04,0.07,0.1,355,0.115384615385,0,0,0
25.44,25.38,25.06,25.56,0,0,0,0,0.08,0.05,0.06,0.09,375,-0.203846153846,0,0,0
25.06,25.13,24.75,25.69,10,11,48,34,0.08,0.05,0.07,0.1,355,0.0,0,0,0
25.38,25.31,24.88,25.69,0,0,0,0,0.07,0.05,0.06,0.06,370,0.0,0,0,0
25.13,25.13,24.69,25.19,6,7,33,21,0.09,0.05,0.06,0.08,345,0.0,0,0,0
25.31,25.31,25.19,26.0,17,20,73,53,0.07,0.06,0.06,0.1,355,0.0,0,0,0
26.19,25.75,25.75,26.31,116,25,185,15,0.86,0.06,0.19,0.06,710,2.27307692308,1,1,2
26.0,25.88,25.69,26.13,0,0,0,0,0.07,0.05,0.06,0.06,940,-2.4,0,0,0
26.0,26.25,25.88,26.38,17,21,94,58,0.07,0.05,0.06,0.06,830,-4.83461538462,0,0,0
25.13,25.06,24.56,25.19,0,0,0,0,0.07,0.04,0.05,0.08,345,0.0,0,0,0
25.19,25.19,24.75,25.25,0,0,0,0,0.07,0.05,0.06,0.09,345,0.0,0,0,0
25.19,25.19,24.69,25.31,0,0,0,0,0.08,0.05,0.06,0.08,345,0.0,0,0,0
25.44,25.44,24.94,25.69,0,0,0,0,0.06,0.05,0.06,0.06,370,0.0,0,0,0
25.06,25.0,24.44,25.31,0,0,5,3,0.08,0.05,0.06,0.05,355,0.0,0,0,0
25.06,25.06,24.69,25.44,8,9,42,29,0.08,0.07,0.09,0.05,355,-0.215384615385,0,0,0
25.44,25.44,25.44,26.19,12,14,59,43,0.08,0.05,0.06,0.1,355,0.0,0,0,0
25.56,25.56,25.25,25.69,0,0,0,0,0.07,0.04,0.06,0.08,520,-1.99230769231,0,0,0
25.31,25.38,24.88,25.75,0,0,0,0,0.07,0.06,0.07,0.1,355,0.0,0,0,0
25.38,25.44,25.06,25.88,0,0,0,0,0.08,0.06,0.06,0.09,355,-0.0115384615385,0,0,0
26.19,26.19,26.0,26.31,114,19,180,7,0.37,0.14,0.35,0.08,1025,-0.207692307692,1,0,2
26.13,25.69,25.56,26.38,115,24,38,21,0.53,0.16,0.26,0.1,625,0.434615384615,0,1,1
25.06,25.06,24.56,25.19,5,5,27,19,0.08,0.05,0.06,0.11,350,0.0,0,0,0
25.19,25.19,24.75,25.31,0,0,0,0,0.08,0.04,0.06,0.09,345,0.0,0,0,0
25.44,25.44,25.13,26.06,0,0,0,0,0.08,0.05,0.06,0.1,350,0.0961538461538,0,0,0
25.06,24.88,24.63,25.56,123,35,57,44,0.15,0.05,0.06,0.06,395,-0.0923076923077,0,0,1
25.44,25.44,25.06,25.56,0,0,0,0,0.07,0.04,0.06,0.08,375,-0.176923076923,0,0,0
25.31,25.31,24.88,25.75,0,0,0,0,0.07,0.06,0.06,0.1,355,0.0,0,0,0
25.13,25.13,24.63,25.19,0,0,0,0,0.08,0.04,0.06,0.08,345,0.0,0,0,0
25.13,25.13,24.69,25.25,0,0,0,0,0.08,0.05,0.05,0.07,345,0.0,0,0,0
25.06,25.06,24.56,25.19,0,0,2,1,0.08,0.05,0.05,0.09,345,0.0,0,0,0
26.19,26.0,25.75,26.25,150,242,189,12,1.06,0.24,0.43,0.07,765,1.8,1,1,3
25.19,25.19,24.88,25.75,14,15,60,43,0.08,0.05,0.06,0.1,355,0.0,0,0,0
26.19,27.31,26.06,26.38,164,251,271,73,0.1,0.14,0.3,0.15,960,1.83076923077,1,1,3
25.19,25.19,24.63,25.44,0,0,0,0,0.07,0.05,0.06,0.09,350,-0.0653846153846,0,0,0
25.19,25.19,24.63,25.44,0,0,0,0,0.08,0.05,0.06,0.06,360,0.0,0,0,0
