age,education-num,hours-per-week,sex
44,13,40,1
28,10,60,0
46,10,30,0
70,9,3,1
21,10,16,0
37,12,38,0
23,10,40,1
71,14,40,1
28,7,40,0
23,10,40,0
24,12,30,1
31,10,55,1
61,3,45,0
42,12,40,1
59,9,65,1
51,14,40,0
53,9,40,0
51,9,20,1
47,13,40,0
53,13,50,0
50,15,40,1
35,12,40,1
49,13,45,0
47,9,40,1
52,10,40,1
40,13,40,1
43,13,40,1
66,16,40,0
47,9,40,0
42,13,42,1
23,10,40,0
60,13,40,1
39,13,40,0
42,14,40,1
34,16,60,0
29,9,40,1
63,9,40,1
50,16,23,1
27,13,40,0
27,13,40,0
20,9,40,0
53,9,58,0
44,9,40,1
37,10,52,1
54,9,60,1
40,10,40,1
38,10,40,1
43,9,40,0
44,13,40,0
24,10,40,0
24,13,40,1
35,9,48,0
45,10,40,1
56,14,40,1
38,4,40,1
49,14,40,1
69,9,40,0
19,9,40,0
39,9,40,1
17,9,35,0
25,9,40,1
49,10,60,1
39,15,50,1
32,9,2,0
58,13,35,0
27,11,45,1
23,7,40,1
27,9,40,0
20,7,25,0
28,11,40,0
34,13,55,1
21,7,56,0
31,9,40,1
40,12,40,1
29,14,40,1
27,4,40,0
29,10,40,0
51,6,40,1
33,13,55,1
60,9,40,1
59,7,40,1
32,6,35,0
63,9,40,1
30,16,15,0
63,13,45,1
52,13,50,1
24,13,20,1
23,9,40,1
26,13,38,1
41,9,40,1
30,12,40,0
46,10,17,0
33,16,40,1
31,9,30,0
56,7,45,1
54,9,40,1
34,9,20,1
38,15,45,1
32,9,55,1
43,10,20,0
33,11,40,1
46,9,28,0
29,6,40,1
26,10,48,1
67,6,16,1
27,10,40,0
28,9,40,1
38,13,40,1
42,14,40,1
41,9,40,0
34,13,40,1
33,9,55,1
62,9,48,0
56,2,40,1
62,10,40,1
47,9,75,1
74,13,10,1
33,10,35,0
44,9,40,1
24,5,40,1
29,9,48,1
38,13,40,1
39,10,40,0
44,10,55,1
20,9,30,1
27,10,40,1
28,8,50,1
26,9,45,0
38,9,50,1
28,7,58,0
40,10,20,0
39,14,40,1
52,10,40,0
53,9,48,1
45,9,40,0
53,9,40,1
32,9,40,0
26,5,20,1
19,10,30,0
34,9,35,1
31,13,48,1
20,9,35,1
35,13,45,1
51,9,40,1
30,14,45,0
60,14,50,0
59,3,40,1
19,10,35,0
56,9,40,1
43,10,40,1
36,13,40,1
40,12,40,0
51,10,40,0
19,9,40,1
31,13,20,0
33,10,65,1
21,10,40,0
69,13,45,1
49,7,6,0
45,10,40,1
41,11,44,0
40,13,40,1
44,9,40,1
44,9,55,1
23,9,40,1
60,9,40,1
68,10,40,1
21,6,40,1
35,13,40,1
33,12,40,0
47,10,38,1
62,14,40,1
38,10,20,0
32,13,50,1
35,9,40,1
55,13,40,1
51,10,48,1
23,9,40,1
48,9,35,0
23,10,30,1
38,14,40,0
51,9,20,1
39,11,40,0
44,13,60,1
46,14,50,1
52,10,40,0
34,9,48,1
44,10,45,1
64,7,40,1
36,9,40,0
65,7,40,1
60,5,40,1
22,9,40,1
23,4,25,1
29,10,40,0
22,10,45,1
51,9,40,0
29,9,40,0
28,13,50,0
34,13,15,0
18,9,40,0
18,9,25,1
59,9,35,0
46,9,38,1
31,9,40,0
47,9,45,1
31,6,40,0
25,9,30,0
43,14,40,0
41,15,40,1
58,14,35,1
17,7,15,0
37,10,40,0
44,13,50,1
29,10,35,0
52,9,40,1
34,12,60,0
58,9,55,1
26,10,40,1
44,7,40,1
38,10,40,1
41,9,25,1
78,4,60,1
54,13,40,1
56,9,40,1
20,10,50,1
36,13,35,0
18,6,20,0
50,15,40,1
34,14,40,1
54,10,40,0
47,14,45,1
36,6,40,0
19,10,25,1
36,5,40,1
40,9,40,1
22,10,25,1
42,14,40,0
29,13,40,0
61,9,40,1
73,9,15,1
48,10,40,1
38,15,60,1
20,9,30,0
37,13,60,1
47,16,50,1
57,14,45,1
27,9,40,1
35,7,50,1
31,10,40,0
58,13,40,1
26,11,40,0
48,9,20,0
25,9,60,1
22,9,40,1
45,12,40,1
75,15,35,1
45,10,40,0
30,13,72,1
40,13,50,1
57,10,25,1
48,10,45,1
41,10,50,1
19,6,40,1
32,6,40,1
25,9,50,0
22,9,20,1
36,9,40,1
30,9,40,1
29,13,40,0
43,13,37,1
27,9,40,1
22,10,25,1
31,10,45,1
24,13,40,1
29,10,50,1
76,10,20,0
37,6,40,1
47,14,50,0
50,9,40,0
48,10,30,0
50,11,45,1
23,13,40,1
35,10,40,1
43,10,35,1
42,9,40,1
40,10,50,1
68,4,16,1
34,9,45,1
46,12,40,1
