Age,Height,Weight,Year,Season
23.0,183.0,84.0,1992,1
19.0,183.0,70.0,2008,0
22.0,172.0,60.0,1992,0
26.0,168.0,64.0,1996,0
25.0,175.0,57.0,2008,0
26.0,175.0,56.0,1992,0
21.0,176.0,70.0,2016,0
24.0,186.0,71.0,2008,0
24.0,168.0,69.0,2000,0
20.0,173.0,62.0,2000,0
18.0,165.0,53.0,2000,0
23.0,187.0,83.0,1992,0
20.0,168.0,65.0,2002,1
20.0,174.0,60.0,2000,0
22.0,175.0,65.0,2012,0
24.0,175.0,73.0,1996,0
28.0,170.0,63.0,2016,0
23.0,160.0,63.0,2008,0
19.0,182.0,75.0,1992,0
20.0,167.0,60.0,1996,0
23.0,173.0,70.0,2002,1
23.0,165.0,53.0,2004,0
22.0,192.0,80.0,2000,0
26.0,171.0,58.0,2000,0
24.0,183.0,70.0,2004,0
24.0,180.0,72.0,2014,1
20.0,180.0,82.0,2008,0
22.0,171.0,65.0,2004,0
24.0,167.0,67.0,2004,0
24.0,169.0,63.0,1996,0
23.0,164.0,55.0,2004,0
33.0,165.0,63.0,2004,0
27.0,163.0,55.0,2010,1
26.0,161.0,52.0,2002,1
28.0,167.0,61.0,2006,1
24.0,179.0,70.0,2016,0
26.0,167.0,60.0,2004,0
20.0,170.0,63.0,2004,0
21.0,182.0,82.0,1992,0
19.0,187.0,71.0,2016,0
21.0,184.0,78.0,2016,0
27.0,183.0,71.0,2012,0
24.0,173.0,59.0,2010,1
20.0,167.0,60.0,2000,0
24.0,178.0,70.0,1996,0
21.0,180.0,78.0,1996,0
24.0,172.0,69.0,2016,0
26.0,180.0,77.0,2000,0
24.0,177.0,72.0,1992,0
24.0,184.0,85.0,1998,1
23.0,185.0,70.0,2004,0
25.0,174.0,58.0,2010,1
24.0,180.0,70.0,2014,1
24.0,160.0,53.0,2014,1
20.0,185.0,77.0,1992,0
27.0,172.0,65.0,2016,0
26.0,186.0,73.0,2014,1
23.0,172.0,70.0,2010,1
28.0,172.0,60.0,2014,1
33.0,170.0,62.0,2004,0
22.0,170.0,57.0,1996,0
27.0,175.0,71.0,2008,0
24.0,178.0,65.0,1994,1
21.0,178.0,77.0,1998,1
24.0,174.0,68.0,2002,1
27.0,169.0,63.0,2016,0
21.0,176.0,64.0,2008,0
20.0,187.0,79.0,1996,0
24.0,163.0,57.0,1996,0
28.0,161.0,57.0,2016,0
27.0,183.0,75.0,2000,0
27.0,172.0,58.0,2008,0
21.0,173.0,62.0,1998,1
22.0,174.0,65.0,1992,0
25.0,180.0,76.0,2000,0
26.0,183.0,85.0,1994,1
30.0,183.0,72.0,1998,1
28.0,188.0,75.0,2008,0
27.0,171.0,63.0,2008,0
27.0,163.0,52.0,2016,0
23.0,184.0,77.0,1992,0
19.0,167.0,60.0,2000,0
31.0,179.0,84.0,1996,0
25.0,168.0,54.0,2016,0
26.0,174.0,65.0,2000,0
32.0,167.0,60.0,2010,1
22.0,177.0,69.0,2016,0
28.0,180.0,82.0,2012,0
27.0,165.0,62.0,2004,0
25.0,181.0,80.0,2006,1
24.0,176.0,70.0,2008,0
29.0,178.0,75.0,1996,0
27.0,180.0,65.0,1996,0
21.0,176.0,74.0,1994,1
28.0,187.0,72.0,2012,0
22.0,162.0,59.0,2016,0
19.0,180.0,74.0,2008,0
19.0,180.0,63.0,2000,0
23.0,185.0,70.0,2012,0
28.0,182.0,70.0,1992,0
27.0,180.0,80.0,2016,0
24.0,166.0,59.0,2016,0
26.0,159.0,57.0,1998,1
26.0,165.0,60.0,2004,0
21.0,176.0,63.0,2012,0
30.0,178.0,72.0,1996,0
26.0,182.0,73.0,2004,0
22.0,175.0,62.0,1998,1
22.0,177.0,74.0,2006,1
20.0,172.0,61.0,2008,0
25.0,181.0,80.0,2010,1
26.0,189.0,76.0,2000,0
18.0,185.0,75.0,1992,0
25.0,175.0,70.0,2016,0
27.0,183.0,79.0,2016,0
27.0,161.0,54.0,2006,1
