age,balance,duration,balance,marital
59,0,226,0,1
35,747,141,747,0
39,147,151,147,1
41,221,57,221,1
43,264,113,264,1
31,360,89,360,1
40,194,189,194,1
31,132,148,132,1
38,0,96,0,2
42,16,140,16,2
44,106,109,106,0
44,93,125,93,1
26,543,169,543,1
67,696,119,696,1
56,784,149,784,1
53,105,74,105,1
31,171,81,171,1
59,42,40,42,1
78,229,97,229,2
23,363,16,363,0
36,553,106,553,0
32,396,205,396,1
55,145,59,145,1
26,0,425,0,1
38,50,98,50,0
57,82,140,82,1
36,101,314,101,0
51,203,134,203,2
31,338,155,338,1
29,444,130,444,1
41,0,630,0,1
32,360,164,360,0
37,0,268,0,1
42,2,380,2,2
41,412,154,412,1
56,344,221,344,1
41,174,367,174,2
40,591,87,591,0
40,219,204,219,1
60,5,63,5,1
28,177,150,177,0
38,424,279,424,1
39,111,201,111,1
30,261,233,261,0
36,0,337,0,1
34,524,9,524,0
37,427,371,427,1
27,0,435,0,1
32,217,317,217,1
33,22,76,22,0
25,331,170,331,0
39,52,69,52,1
46,25,564,25,2
45,419,113,419,1
24,119,51,119,0
45,586,32,586,0
32,228,176,228,0
41,168,187,168,1
37,0,24,0,1
48,0,85,0,1
33,0,236,0,0
29,428,54,428,0
34,0,71,0,0
32,0,455,0,0
42,323,280,323,1
46,179,194,179,1
37,391,103,391,0
41,89,333,89,1
36,442,102,442,0
35,308,77,308,2
55,273,84,273,1
27,50,168,50,0
34,20,10,20,1
48,310,135,310,1
37,37,253,37,0
37,176,147,176,1
37,0,65,0,1
28,172,194,172,0
32,0,333,0,0
40,6,140,6,2
34,-62,109,-62,1
37,21,96,21,0
36,23,152,23,1
49,0,97,0,1
57,39,354,39,2
38,1,152,1,1
45,0,139,0,0
38,432,10,432,1
49,400,151,400,1
53,-22,20,-22,1
49,365,59,365,1
41,204,111,204,1
32,406,227,406,0
33,359,210,359,1
36,123,9,123,1
35,0,112,0,1
52,142,112,142,1
44,33,195,33,0
48,20,145,20,2
57,206,216,206,1
34,1,483,1,0
36,0,60,0,1
32,0,123,0,0
42,484,144,484,1
43,0,9,0,1
31,395,155,395,1
55,410,221,410,2
46,222,71,222,1
34,415,361,415,1
28,16,119,16,0
54,209,97,209,1
32,0,181,0,0
53,624,180,624,1
40,0,297,0,1
35,0,262,0,0
34,4,644,4,1
38,0,247,0,0
51,37,341,37,2
59,593,64,593,1
42,63,88,63,2
40,260,197,260,1
41,49,312,49,1
34,69,120,69,1
47,480,211,480,1
53,0,135,0,2
56,353,171,353,1
38,605,147,605,1
43,2,472,2,1
25,760,223,760,0
46,182,56,182,1
37,-67,157,-67,1
60,179,79,179,0
47,214,168,214,1
37,121,22,121,1
34,244,56,244,1
30,424,298,424,0
47,447,126,447,2
56,478,97,478,1
60,0,151,0,0
36,219,270,219,0
44,0,159,0,1
35,32,180,32,1
39,278,60,278,1
50,4,223,4,1
